Eastern-Nunivak-Island-AK,9466012,ZZZZZ,60.04,-165.68,8.84,7.26,3.77,0,0,1,P,0,9,0,B
Kinak-Bay-AK,9465953,ZZZZZ,59.95,-164.21,11.43,9.39,4.76,0,0,1,P,0,9,0,B
Quinhagak-AK,9465831,ZZZZZ,59.75,-161.91,15.16,11.93,5.45,0,0,1,P,0,9,0,B
Platinum-AK,9465396,ZZZZZ,59.05,-161.82,11.48,9.43,3.84,0,0,1,P,0,9,0,B
Dillingham-AK,9465374,ZZZZZ,59.04,-158.45,24.24,20.64,10.84,0,0,1,P,0,9,0,B
Protection-Point-Nushagak-Bay-AK,9465056,ZZZZZ,58.5,-158.71,21.59,17.73,9.4,0,0,1,P,0,9,0,B
220-NM-SSE-Dutch-Harbor-AK,ep46402,ZZZZZ,51.07,-164.01,6.4,5.0,2.67,0,0,1,P,0,9,0,C
186-NM-SE-Shumagin-Island-AK,ep46403,ZZZZZ,52.65,-156.94,7.97,6.43,3.42,0,0,1,P,0,9,0,C
212-NM-S-Umnak-Island-AK,ep46408,ZZZZZ,49.63,-169.87,5.31,4.01,2.15,0,0,1,P,0,9,0,C
210-NM-SE-Kodiak-AK,ep46409,ZZZZZ,55.3,-148.5,10.13,8.31,4.4,0,0,1,P,0,9,0,C
188-NM-SSE-Cordova-AK,ep46410,ZZZZZ,57.5,-144,11.29,9.27,4.88,0,0,1,P,0,9,0,C
243-NM-SSE-Adak-Island-AK,ep46413,ZZZZZ,48.86,-175.6,4.5,3.26,1.75,0,0,1,P,0,9,0,C
170-NM-SSE-Amchitka-AK,ep21414,ZZZZZ,48.95,-181.74,4.05,2.88,1.61,0,0,1,P,0,9,0,C
Togiak-Ak,ber0017,ZZZZZ,58.71,-160.19,8.12,6.27,3.42,0,0,1,P,0,9,0,B
Kipnuk-Ak,ber0018,ZZZZZ,59.95,-164.21,8.59,6.71,3.08,0,0,1,P,0,9,0,B
Port-Heiden-AK,ber0019,ZZZZZ,56.93,-158.73,13.71,11.21,6.08,0,0,1,P,0,9,0,B
Gustavus-AK,goa0001,ZZZZZ,58.46,-135.88,12.73,10.34,5.24,0,0,1,P,0,9,0,C
Wrangell-AK,goa0002,ZZZZZ,56.47,-132.39,0,0,0,0,0,0,P,0,9,0,C
Akutan-AK,ber0020,ZZZZZ,54.13,-165.78,5.26,3.95,2.23,0,0,1,P,0,9,0,B
Cape-Lisburne-Ak,ber0021,ZZZZZ,68.88,-166.21,0.51,0.33,0.17,0,0,1,P,0,9,0,B
Cold-Bay-AK,ber0022,ZZZZZ,55.21,-162.72,5.85,4.23,2.21,0,0,1,P,0,9,0,B
Diomede-AK,ber0023,ZZZZZ,65.76,-168.95,0.91,0.75,0.41,0,0,1,P,0,9,0,B
Elim-Ak,ber0024,ZZZZZ,64.62,-162.27,1.31,0.87,0.41,0,0,1,P,0,9,0,B
False-Pass-AK,ber0025,ZZZZZ,54.85,-163.41,5.25,4.05,2.29,0,0,1,P,0,9,0,B
Kongiganak-AK,ber0026,ZZZZZ,59.96,-162.89,6.63,4.74,1.94,0,0,1,P,0,9,0,B
Koyuk-AK,ber0027,ZZZZZ,64.93,-161.16,0.5,0.35,0.17,0,0,1,P,0,9,0,B
Kwigillingok-AK,ber0028,ZZZZZ,59.88,-163.16,7.1,5.1,2.09,0,0,1,P,0,9,0,B
Nelson-Lagoon-AK,ber0029,ZZZZZ,56,-161.2,10.36,8.57,4.86,0,0,1,P,0,9,0,B
Newtok-AK,ber0030,ZZZZZ,60.94,-164.63,0,0,0,0,0,0,P,0,9,0,B
Oliktok-AK,ber0041,ZZZZZ,70.49,-149.88,0.82,0.6,0.31,0,0,1,P,0,9,0,C
Paimiut-AK,ber0031,ZZZZZ,61.69,-165.84,7.33,6.26,3.27,0,0,1,P,0,9,0,B
Pilot-Point-AK,ber0032,ZZZZZ,57.56,-157.57,18.17,14.97,7.97,0,0,1,P,0,9,0,B
Point-Lay-AK,ber0033,ZZZZZ,69.74,-163.01,0.58,0.39,0.2,0,0,1,P,0,9,0,B
Saint-George-AK,ber0034,ZZZZZ,56.6,-169.54,3.92,3.09,1.82,0,0,1,P,0,9,0,B
Scammon-Bay-AK,ber0035,ZZZZZ,61.84,-165.58,5.93,4.8,2.35,0,0,1,P,0,9,0,B
Solomon-AK,ber0036,ZZZZZ,64.56,-164.44,1.71,1.24,0.68,0,0,1,P,0,9,0,B
Stebbins-AK,ber0037,ZZZZZ,63.52,-162.29,2.11,1.48,0.66,0,0,1,P,0,9,0,B
Togiak-AK,ber0038,ZZZZZ,59.06,-160.38,5.9,4.34,2.37,0,0,1,P,0,9,0,B
Tununak-AK,ber0039,ZZZZZ,60.59,-165.25,8.97,7.92,4.19,0,0,1,P,0,9,0,B
Wainwright-AK,ber0040,ZZZZZ,70.64,-160.03,0.46,0.29,0.14,0,0,1,P,0,9,0,B
Chickasaw-Creek-AL,8737138,CIKA1,30.78,-88.07,27.01,26.28,25.45,24.61,1,1,P,0,9,0,G
Weeks-Bay-AL,8732828,WBYA1,30.42,-87.83,32.44,31.84,31.03,30.23,1,1,P,0,9,0,G
East-Fowl-River-Bridge-AL,8735523,EFRA1,30.44,-88.11,15.8,14.96,14.23,13.51,1,1,P,0,9,0,G
Mobile-State-Docks-AL,8737048,OBLA1,30.71,-88.04,3.84,3.13,2.3,1.48,1,1,P,0,9,0,G
